keyword,title,creator,description,date,subject,publisher,id,url,item_url
vikings,"Mâlmôrda, a metrical romance,",,Also available in digital form.,1893,,,http://www.loc.gov/item/21019357/,https://www.loc.gov/item/21019357/,https://www.loc.gov/item/21019357/
vikings,NASA: Fiftieth Anniversary of the Moon Landing - National Library Service for the Blind and Print Disabled (NLS),,"NASA: Fiftieth Anniversary of the Moon Landing: Braille and audio titles on the Moon Landing, astronauts, and NASA programs.",,,,https://www.loc.gov/nls/new-materials/book-lists/nasa-fiftieth-anniversary-of-the-moon-landing/,https://www.loc.gov/nls/new-materials/book-lists/nasa-fiftieth-anniversary-of-the-moon-landing/,https://www.loc.gov/nls/new-materials/book-lists/nasa-fiftieth-anniversary-of-the-moon-landing/
vikings,Mac Barnett,,"<p>Mac Barnett, 2025-2026 National Ambassador for Young People’s Literature, is the ninth writer to hold this position. During his term, Barnett will celebrate the children’s picture book through his platform, “Behold, The Picture Book! Let’s Celebrate Stories We Can Feel, Hear, and See.”</p>",,"barnett, mac",,http://www.loc.gov/item/n2008020628/mac-barnett/,https://www.loc.gov/item/n2008020628/mac-barnett/,https://www.loc.gov/item/n2008020628/mac-barnett/
vikings,Franklin Book Program: Bengali Titles,,"The Asian Division serves as custodian for Asian language items in five of ten languages from the Franklin Book Program Collection (FBP) housed at the Library of Congress. Between 1952 and 1978, FBP assisted developing countries in the creation, production, distribution, and use of books and educational materials in vernacular languages. The program selected English materials about science, technology, poetry, history and had them translated into vernacular languages by authors and translators in those countries. The work completed by Daniel Ng and Bennett Comerford as 2021 Junior Fellows focused on the 331 uncatalogued Bengali titles in this collection and the promotion of their project via an entry for the Library's Four Corners of the World blog",2021,,,http://www.loc.gov/item/2024697567/,https://www.loc.gov/item/2024697567/,https://www.loc.gov/item/2024697567/
vikings,Newspaper Coverage of “One Giant Leap for Mankind”,,"""I was worried that the moon might be too soft and that he would sink in too deeply,"" Viola Armstrong, Neil Armstrong's mother. This mother's heartfelt concern appears in a newspaper from Neil Armstrong';s hometown of Wapakoneta, Ohio.",2019-08-20,blogs | comic books | newspapers,,https://blogs.loc.gov/headlinesandheroes/2019/08/newspaper-coverage-of-one-giant-leap-for-mankind/,https://blogs.loc.gov/headlinesandheroes/2019/08/newspaper-coverage-of-one-giant-leap-for-mankind/,https://blogs.loc.gov/headlinesandheroes/2019/08/newspaper-coverage-of-one-giant-leap-for-mankind/
vikings,Events & Resources | Rosa Parks: In Her Own Words | Exhibitions at the Library of Congress,,"<!--strong>Virtual Student Workshops Virtual workshops are available by request and are led by a Library facilitator. These programs take place online, last approximately 45 minutes, and include interactive elements and pre-and post-program material.",,,,http://www.loc.gov/exhibitions/rosa-parks-in-her-own-words/events-and-resources/,https://www.loc.gov/exhibitions/rosa-parks-in-her-own-words/events-and-resources/,https://www.loc.gov/exhibitions/rosa-parks-in-her-own-words/events-and-resources/
vikings,"Arkansas - White Pages and Yellow Pages - Little Rock, North Little Rock - March 1963",,,1963,directory,,http://www.loc.gov/item/usteledirec01221/,https://www.loc.gov/item/usteledirec01221/,https://www.loc.gov/item/usteledirec01221/
vikings,February 2025 Collections Connections - National Library Service for the Blind and Print Disabled (NLS),,"Nordic Noir In the 1990s, a new crime fiction genre emerged from Northern lands and took the world by storm. As it expanded beyond the Scandinavian peninsula and across the globe, the genre became known as Nordic Noir. It was at once thoughtful, thrilling, disturbing, gritty, and intelligent, reflecting the sensibilities and cultural obsessions of",,,,https://www.loc.gov/nls/new-materials/collections-connections/february-2025-collections-connections/,https://www.loc.gov/nls/new-materials/collections-connections/february-2025-collections-connections/,https://www.loc.gov/nls/new-materials/collections-connections/february-2025-collections-connections/
vikings,"Fieldnotes - Jens Lund, Chicago Ethnic Arts Project",,,1977,manuscripts | field notes,,http://www.loc.gov/item/afc1981004.08_119/,https://www.loc.gov/item/afc1981004.08_119/,https://www.loc.gov/item/afc1981004.08_119/
vikings,"Overseas Outlook, January-June 2019 - National Library Service for the Blind and Print Disabled (NLS)",,Overseas Outlook January–June 2019: Newsletter updates from the National Library Service for the Blind and Print Disabled.remote,,,,https://www.loc.gov/nls/news-and-updates/overseas-outlook-newsletter/overseas-outlook-january-june-2019/,https://www.loc.gov/nls/news-and-updates/overseas-outlook-newsletter/overseas-outlook-january-june-2019/,https://www.loc.gov/nls/news-and-updates/overseas-outlook-newsletter/overseas-outlook-january-june-2019/
